,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,del_Z_score_c_scaled,del_tier1_c_scaled,del_roa_scaled,del_leverage_scaled,del_tobinq_scaled,del_eps_scaled,year1_Z_score_c_scaled,year2_Z_score_c_scaled,year1_tier1_c_scaled,year2_tier1_c_scaled,year1_roa_scaled,year2_roa_scaled,year1_leverage_scaled,year2_leverage_scaled,year1_tobinq_scaled,year2_tobinq_scaled,year1_eps_scaled,year2_eps_scaled,cik_year1,cik_year2,year1,year2,year1_len,year2_len,jac_sim,cv_sim,tfidf_sim,tfidf+lsa_sim_20,tfidf+lsa_sim_128,tfidf+lsa_sim_512,d2v_w2v_sim,d2v_glove_sim,d2v_fast_sim,fuz_sim,d2v_w2v_cor,d2v_fast_corr,cv_corr,tfidf_corr,tfidf+lsa_20_corr,tfidf+lsa_128_corr,tfidf+lsa_512_corr,d2v_glove_corr
111,111,111,111,111,111,111,111,111,111,111,0.011568805750814728,0.006031255403690232,0.00024915683346105055,-2.009031580318954e-05,0.000255599177775942,0.0009293713625893039,0.009673101643966616,0.021241907394781344,0.22038416283507906,0.2264154182387693,0.15709666676918302,0.15734582360264407,0.9278844491004312,0.927864358784628,0.10291208693457066,0.1031676861123466,0.8589729772723759,0.8599023486349652,1343034_2010,1343034_2011,2010,2011,27915,31503,0.8365019011406845,0.9844601161645804,0.9765442184535732,0.9958406702808842,0.9911887918409928,0.9868601122348424,0.8513546586036682,0.8619536757469177,0.8694841265678406,0.32,0.8519089012501306,0.8694507672706231,0.9668628048183114,0.9617584218422724,0.9906387549615492,0.9791342248249824,0.9728760934308828,0.8619231278297849
112,112,112,112,112,112,112,112,112,112,112,-0.0008262185945143267,0.01145248747224914,-0.00023509741366695147,9.678737733709308e-05,-0.004422084650614888,-0.0005361639262992933,0.0028378362142632355,0.0020116176197489087,0.2334317357699033,0.24488422324215245,0.1544825047689402,0.15424740735527326,0.9290099583898233,0.9291067457671603,0.13930259048672305,0.13488050583610814,0.8504327672472274,0.8498966033209281,1128361_2009,1128361_2010,2009,2010,35945,36942,0.8421645997745209,0.9888622368403388,0.9799589565425896,0.9951856916507856,0.9932896413830348,0.989910964491458,0.90045565366745,0.907158374786377,0.903941571712494,0.36,0.9011324399500662,0.9021564114350812,0.9804073698342358,0.9623244987710688,0.9986766052294384,0.9982691771263756,0.9930413097057541,0.9073438669252024
113,113,113,113,113,113,113,113,113,113,113,0.008056566670970933,5.6917080630353174e-05,0.00029944208414320333,0.00015146464367643553,0.0038088266477538657,0.003226024544489281,0.010461736252698466,0.0185183029236694,0.2456037844049229,0.24566070148555325,0.1578391542311554,0.1581385963152986,0.928375620735734,0.9285270853794104,0.117184977821587,0.12099380446934087,0.868399246718213,0.8716252712627023,883948_2011,883948_2012,2011,2012,32355,34061,0.8,0.9781925563184214,0.9535282666251692,0.9964198808407372,0.9897603927977324,0.9775283674575213,0.8779790997505188,0.8790079951286316,0.8710234761238098,0.26,0.8790773200360943,0.8708673571922251,0.9871870125277676,0.9712628558882864,0.9975152875701412,0.9948094408222498,0.9889487443420912,0.8789522321127845
114,114,114,114,114,114,114,114,114,114,114,0.001000755126748039,-0.003181606900130945,0.0017740151394699808,0.0006709999201073291,-0.004250069600548134,0.011838506993401277,0.002355860828152637,0.003356615954900676,0.2072461676439466,0.20406456074381565,0.1551123146159025,0.15688632975537248,0.9289541331337492,0.9296251330538564,0.1271688324177475,0.12291876281719938,0.8525516322895823,0.8643901392829836,1169770_2013,1169770_2014,2013,2014,41365,52752,0.7371980676328502,0.9589513073650904,0.8713815722807747,0.9582482646027164,0.9515161770841162,0.9161900454787876,0.8386535048484802,0.8441396951675415,0.8499261140823364,0.11,0.8384897943255561,0.8497206932821642,0.9185493771417989,0.835069167132356,0.9429085538088252,0.9314732590566628,0.8848967625510015,0.8452510796973041
115,115,115,115,115,115,115,115,115,115,115,-5.132226221571521e-05,-0.06367065743549366,-0.011696273888268131,-0.0011514896411809472,0.0003629056726249663,-0.04399005275792611,0.0013171968064273716,0.0012658745442116562,0.18610594971659544,0.12243529228110178,0.14006640532624967,0.12837013143798154,0.9301970101415248,0.9290455205003438,0.11710734063397805,0.11747024630660302,0.7967413995658705,0.7527513468079444,1071264_2011,1071264_2012,2011,2012,24019,33763,0.8644501278772379,0.9673177465618872,0.962355104843981,0.9909898306055565,0.9795055847739496,0.9727340139599264,0.8904256224632263,0.8888991475105286,0.8957948684692383,0.45,0.8901381931676198,0.8963888984887507,0.9925324444506322,0.9898404225555438,0.9985940540992408,0.9964663838659488,0.9944996551725562,0.8881850682540449
116,116,116,116,116,116,116,116,116,116,116,-0.0002547644844091172,-0.03990266799391415,-0.010714733793004277,0.002488899280480461,0.017424099820889855,-0.06250073659184785,0.001548918518078378,0.0012941540336692608,0.2232523142154353,0.1833496462215212,0.14492491795873175,0.13421018416572747,0.9292150827235284,0.9317039820040088,0.10509787207443287,0.12252197189532273,0.7664843713603372,0.7039836347684894,1019650_2009,1019650_2010,2009,2010,35476,34838,0.7750556792873051,0.9709461913666496,0.9136818466906944,0.991675252745752,0.9435177482501188,0.9335772471676216,0.7978135943412781,0.7834992408752441,0.7874817848205566,0.23,0.7977377688255932,0.7870624888532675,0.9947162977717248,0.973844930524244,0.9999943010519944,0.9999423733921218,0.9986586648728653,0.7822707941056593
117,117,117,117,117,117,117,117,117,117,117,0.0021058824862520906,0.0012463227976294011,0.00018692001792064428,-9.962610679137283e-05,-0.0029479974515861512,0.004213239848924744,0.01558192053731415,0.01768780302356624,0.2349191389228381,0.2361654617204675,0.15794326617866922,0.15813018619658986,0.9298908302676178,0.9297912041608264,0.1237087634182404,0.12076076596665425,0.8761905190906931,0.8804037589396179,801337_2011,801337_2012,2011,2012,62299,62199,0.8495013599274706,0.9872505691964468,0.9897501387439698,0.993249773543968,0.9957242131149991,0.9944039750828502,0.9373829364776612,0.9437114596366882,0.9400859475135804,0.25,0.9374056020251272,0.9404991624613124,0.9962973476159028,0.9947830442130394,0.9991100292158459,0.9979582014340984,0.997158360927843,0.9435823293115532
118,118,118,118,118,118,118,118,118,118,118,-0.002635392893796487,0.0068712253634765075,-0.0008377472328973401,-0.0008321560711653798,-0.012034518025219671,-0.003810510397510014,0.005842725691900468,0.0032073327981039807,0.20157280990673265,0.2084440352702092,0.15681442272631038,0.15597667549341304,0.932071884825372,0.9312397287542066,0.12637407349529384,0.11433955547007416,0.8611980185068455,0.8573875081093355,921590_2007,921590_2008,2007,2008,26756,24573,0.77735368956743,0.985314911959362,0.9662433598794574,0.9976180245236776,0.9939441914711143,0.985044461798348,0.8563109040260315,0.8572288155555725,0.8519915342330933,0.54,0.8564560155317364,0.8526629190014582,0.985389448686908,0.9711632474201956,0.9975919137506274,0.9927168294193316,0.9858266179909234,0.8568559671450542
119,119,119,119,119,119,119,119,119,119,119,0.0006486423309411875,0.008703058110969471,-0.006816177903489985,-0.0008367598568126411,-0.004806443159552379,-0.05556079035701245,0.0016948777507853955,0.002343520081726583,0.2417295873546523,0.2504326454656218,0.15803579162666787,0.15121961372317788,0.9309458910085572,0.9301091311517444,0.1137863515609035,0.10897990840135112,0.8776739253229023,0.8221131349658899,787075_2009,787075_2010,2009,2010,41227,54627,0.5391014975041597,0.8544374223079614,0.8092530770082816,0.8758396735618119,0.8623093572422327,0.8375665188061666,0.4453592002391815,0.4381697177886963,0.4446507096290589,0.02,0.4452727272614937,0.4445449941877016,0.9895241050549196,0.9776335908132572,0.9976433984989768,0.9937220795485004,0.9898317067121152,0.43817702834155614
120,120,120,120,120,120,120,120,120,120,120,0.0020411261819255734,0.004099723432551604,-0.0001375682227922892,0.0001934128566368765,-0.015642464268112333,-0.0007386075534595582,0.003770686103420434,0.005811812285346008,0.2485341952633694,0.252633918695921,0.15576721754206949,0.1556296493192772,0.9302057601470928,0.9303991730037297,0.11312123670196778,0.09747877243385544,0.8564333319778816,0.8556947244244221,770460_2010,770460_2011,2010,2011,270,300,0.9583333333333334,0.9492622930986468,0.9339713127486592,0.9992337598669034,0.9959257767887798,0.966998078433836,0.958186686038971,0.9539795517921448,0.9627580642700196,0.96,0.9579289986419146,0.9627601187144492,0.9903679551665296,0.9875920198076178,0.9989626854535636,0.9962627597607326,0.9939604186447916,0.9541929567741037
